QTY,Description,Note/Carrier,Face or Leg,Offset Type,Horizontal,Lateral,Vertical,Azimuth Adjustment(degree),Placement(ft),CaAa Front (No Ice) ft^2,"CaAa Front (1/2"" Ice) ft^2",CaAa Side (No Ice) ft^2,"CaAa Side (1/2"" Ice) ft^2",Weight (No Ice) Weight,"Weight (1/2"" Ice) Weight"
96,"Ericsson RRUS 4490,(Venzon)",Venzon,B, FromLeg,3.00,0.00,0.00,0.0000,250.00,2.20,239,0.86,0.98,68.00,85.06
97,"Ericsson RRUS 4490,(Venzon)",Venzon,Cc,From Leg,3.00,0.00,0.00,0.0000,250.00,2.20,2.39,0.86,0.98,68.00,5.06
98,"Encsson AIR 6419 B41,w/MP,(Venzon)",Venzon,Cc,From Leg,3.00,0.00,0.00,0.0000,250.00,7.50,834,4.78,5.85,112.20,176.75
99,"Ericsson RRUS 4490,(Verizon)",Verizon,A,Fromleg,3.00,0.00,0.00,0.0000,250.00,2.20,2.39,0.86,0.98,68.00,5.06
100,"1/3 of Reserved Rights,(Verizon)",Verizon,A,FromLeg,3.00,0.00,0.00,0.0000,250.00,62.67,73.54,62.67,73.54,668.50,1002.80
101,"1/3 of Reserved Rights,(Verizon)",Verizon,B, FromLeg,3.00,0.00,0.00,0.0000,250.00,62.67,73.54,62.67,73.54,668.50,1002.80
102,"1/3 of Reserved Rights,(Venizon)",Venizon,Cc,From Leg,3.00,0.00,0.00,0.0000,250.00,62.67,73.54,62.67,73.54,668.50,1002.80
103,(Venzon),Venzon,A,$=Ffromieg,3.,0.00,0.00,,,..0,2.39,.50,0.98,05.0,85.06
104,"i/> Of Reserved hignhts,(Verizon)",Verizon,A,$=Fromieg,5.0,0.00,0.00,,,02.0,73.54,02.01,73.54,005.9,1002.80
105,4’ Lightning Rod,,B,From Leg,0.00,0.00,2.00,0.0000,180.00,0.00,0.00,0.00,0.00,0.00,0.00
106,4 Lightning Rod,,B,From Leg,0.00,0.00,2.00,0.0000,180.00,0.00,0.00,0.00,0.00,0.00,0.00
107,"(2) QS8656-5 w/ MP,(Verizon)",Verizon,B,From Leg,0.00,3.50,0.00,0.0000,175.00,13.18,11.75,15.08,12.19,0.35,0.14
108,"(2) QS8656-5 w/ MP,(Verizon)",Verizon,C,From Leg,0.00,3.50,0.00,0.0000,175.00,13.18,11.75,15.08,12.19,0.35,0.14
